file_name,face_visibility_r1,face_visibility_r2,face_visibility_r3,smile_positive_expression_r1,smile_positive_expression_r2,smile_positive_expression_r3,face_centering_r1,face_centering_r2,face_centering_r3,face_size_r1,face_size_r2,face_size_r3,head_movement_r1,head_movement_r2,head_movement_r3,audio_speaking_rhythm_r1,audio_speaking_rhythm_r2,audio_speaking_rhythm_r3
3WmWJ1lNy-U.001_0100.jpg,0.96,0.95,1.00,0.87,0.76,0.91,0.62,0.71,0.45,0.27,0.53,0.28,0.33,0.48,0.39,0.77,0.98,0.81
3WoXkI06zGk.001_0209.jpg,0.65,0.53,0.73,0.35,0.45,0.50,0.32,0.33,0.24,0.42,0.46,0.37,0.66,0.53,0.67,0.50,0.30,0.29
3yU-7AXnFCM.003_0630.jpg,0.41,0.38,0.42,0.71,0.85,0.90,0.32,0.46,0.42,0.42,0.45,0.51,0.48,0.44,0.55,0.87,0.75,0.74
44rxmXiga90.002_0256.jpg,0.91,0.80,0.78,0.90,0.73,0.68,0.86,0.89,0.72,0.70,0.58,0.69,0.65,0.65,0.62,0.82,0.87,0.89
44rxmXiga90.003_0241.jpg,0.95,0.88,0.87,0.79,0.70,0.80,0.50,0.38,0.47,0.56,0.71,0.77,0.59,0.61,0.78,0.85,0.82,0.75
48S9_KZvzVw.005_0613.jpg,0.62,0.73,0.77,0.69,0.78,0.78,0.90,1.00,0.82,0.89,0.85,0.70,0.37,0.32,0.39,0.93,0.99,0.84
495hLlCEW64.003_0677.jpg,0.61,0.52,0.70,0.53,0.49,0.57,0.65,0.70,0.55,0.83,0.57,0.76,0.44,0.61,0.43,0.49,0.39,0.30
4ICb270oLpE.000_0266.jpg,0.37,0.27,0.31,0.62,0.62,0.56,0.22,0.50,0.25,0.35,0.44,0.39,0.36,0.26,0.19,0.54,0.61,0.48
4JjpfL4y3XM.000_0075.jpg,0.78,0.79,0.95,0.42,0.47,0.54,0.67,0.74,0.85,0.30,0.47,0.31,0.53,0.57,0.45,0.80,0.96,0.90
4JjpfL4y3XM.001_0235.jpg,0.72,0.66,0.55,0.64,0.56,0.73,0.49,0.69,0.64,0.53,0.52,0.44,0.77,0.81,0.91,0.69,0.64,0.80
4JYmE9a21aI.004_0242.jpg,0.71,0.78,0.86,0.51,0.39,0.37,0.41,0.48,0.20,0.82,0.75,0.84,0.47,0.51,0.62,0.39,0.55,0.49
4kIHxR6s1L4.001_0412.jpg,0.83,0.71,0.83,0.29,0.47,0.33,0.62,0.55,0.64,0.44,0.53,0.29,1.00,0.97,0.91,0.63,0.57,0.67
4lH5nLSwmoM.003_0424.jpg,0.80,0.66,0.86,0.61,0.57,0.53,0.48,0.35,0.37,0.46,0.48,0.42,0.54,0.77,0.65,0.64,0.70,0.85
4lj66h4CXI8.002_0610.jpg,0.45,0.55,0.50,0.51,0.27,0.51,0.88,1.00,0.95,0.91,0.69,0.92,0.88,0.88,0.86,0.41,0.38,0.22
4lyKh2_xCDQ.003_0259.jpg,0.49,0.39,0.43,0.78,1.00,0.95,0.87,1.00,0.93,0.49,0.47,0.52,0.90,0.95,0.75,0.68,0.80,0.77
4sCa35TOxgs.001_0575.jpg,0.71,0.72,0.76,0.39,0.35,0.35,0.62,0.68,0.65,0.54,0.51,0.72,0.42,0.48,0.40,0.95,0.95,0.73
4TpJ1FT2w6Y.003_0147.jpg,0.61,0.56,0.71,1.00,0.97,1.00,0.71,0.83,0.71,0.59,0.51,0.58,0.41,0.20,0.27,0.71,0.72,0.55
4TpJ1FT2w6Y.004_0193.jpg,0.70,0.79,0.60,0.72,0.80,0.68,0.45,0.44,0.41,0.76,0.95,0.95,0.29,0.41,0.20,0.37,0.48,0.29
57o4odfqTs8.001_0666.jpg,0.64,0.66,0.78,0.74,0.53,0.67,0.62,0.54,0.61,0.62,0.68,0.69,0.35,0.53,0.48,0.44,0.44,0.41
59Smv7wl--w.005_0355.jpg,0.51,0.41,0.50,0.26,0.33,0.27,1.00,0.90,0.84,0.66,0.61,0.79,0.86,0.85,0.76,0.72,0.73,0.64
5KHOpRCxnwQ.005_0489.jpg,0.42,0.34,0.26,0.47,0.45,0.33,0.30,0.33,0.39,0.55,0.46,0.43,0.82,1.00,1.00,0.48,0.21,0.41
5T2PhH-OMds.000_0213.jpg,0.95,0.88,0.87,0.94,0.75,0.97,0.50,0.52,0.26,0.60,0.71,0.72,0.77,0.74,0.85,1.00,1.00,0.99
5uFZ-2kYGO0.000_0192.jpg,0.92,0.97,0.95,0.62,0.43,0.44,0.59,0.44,0.69,0.47,0.45,0.60,0.86,1.00,0.94,0.35,0.30,0.42
6CRet5sD6xI.003_0272.jpg,0.32,0.32,0.33,0.85,0.86,0.93,0.91,0.81,0.72,0.23,0.33,0.46,0.97,0.84,0.81,0.83,0.66,0.69
6JfSPPVUgIg.005_0476.jpg,0.80,0.74,0.75,0.77,0.70,0.76,0.79,0.92,0.97,0.28,0.30,0.53,0.35,0.24,0.26,0.79,0.66,0.68
6KKNrufnL80.000_0676.jpg,0.68,0.50,0.64,1.00,0.97,0.96,0.54,0.56,0.43,0.73,0.54,0.68,0.56,0.60,0.47,0.83,0.82,0.81
6N02tjYPLh8.000_0415.jpg,0.45,0.45,0.48,0.75,0.76,0.53,0.65,0.70,0.82,0.79,0.65,0.82,0.47,0.28,0.36,0.35,0.24,0.47
6oL9yyc9iJc.001_0426.jpg,0.43,0.48,0.50,0.70,0.63,0.75,0.53,0.53,0.63,0.53,0.71,0.55,0.68,0.79,0.83,0.63,0.47,0.63
6TkMavTyimI.001_0093.jpg,0.97,0.96,0.88,0.31,0.36,0.37,0.58,0.74,0.72,0.39,0.33,0.40,0.56,0.45,0.72,0.73,0.68,0.68
6WSr4IW6cNI.000_0528.jpg,0.18,0.29,0.25,0.82,0.94,0.68,0.35,0.27,0.52,0.60,0.56,0.67,0.46,0.42,0.57,0.65,0.73,0.68
6WSr4IW6cNI.003_0322.jpg,0.96,0.89,0.75,0.38,0.32,0.31,0.30,0.35,0.44,1.00,0.84,0.98,0.39,0.43,0.47,0.70,0.84,0.82
6xlHkQDHxbs.000_0068.jpg,0.85,0.88,0.79,0.52,0.49,0.32,0.88,0.91,0.90,0.94,0.83,0.75,0.58,0.50,0.47,0.32,0.48,0.42
6zm71IHOCZA.000_0391.jpg,0.57,0.51,0.56,0.23,0.49,0.25,0.44,0.19,0.17,0.93,0.94,0.75,0.42,0.38,0.33,0.43,0.42,0.47
70FJFG-MISQ.004_0184.jpg,0.86,0.78,0.92,0.43,0.51,0.53,0.94,0.81,0.82,0.33,0.57,0.32,0.74,0.51,0.55,0.68,0.66,0.56
75XbCb7G8kw.002_0660.jpg,0.33,0.46,0.44,0.50,0.56,0.67,0.98,0.98,0.95,0.41,0.45,0.38,0.40,0.39,0.20,0.72,0.76,0.65
7GRC7XjGzX8.001_0300.jpg,0.82,0.82,0.84,0.51,0.61,0.39,0.65,0.86,0.69,0.61,0.66,0.68,0.42,0.24,0.47,0.69,0.66,0.73
7GRC7XjGzX8.003_0633.jpg,0.41,0.31,0.42,0.57,0.40,0.36,0.81,0.80,0.76,0.63,0.83,0.68,0.67,0.70,0.52,0.80,0.92,1.00
7LHmNEH65Pk.000_0188.jpg,0.65,0.72,0.62,0.39,0.48,0.37,0.77,0.57,0.67,1.00,1.00,0.98,0.90,0.72,0.67,0.59,0.60,0.69
7nhJXn9PI0I.004_0353.jpg,0.94,0.72,0.91,0.57,0.70,0.68,0.71,0.76,0.48,0.84,0.58,0.73,0.75,0.76,0.65,0.73,0.72,0.72
7rZF73nDGEY.003_0663.jpg,0.75,0.83,0.82,0.60,0.60,0.56,0.51,0.41,0.51,0.64,0.48,0.39,0.98,1.00,0.98,0.47,0.58,0.44
7tlMys6MZ34.001_0125.jpg,0.57,0.66,0.56,0.36,0.44,0.35,0.34,0.42,0.60,0.90,0.74,0.67,0.40,0.46,0.49,0.64,0.66,0.60
7UQt8QB3cQY.002_0386.jpg,0.84,0.96,0.88,0.70,0.48,0.72,0.49,0.70,0.56,0.89,0.92,0.78,0.81,0.88,0.97,0.45,0.45,0.44
7Y4cUPFEt-4.005_0133.jpg,0.81,0.82,0.79,0.82,0.87,0.83,0.67,0.70,0.83,0.29,0.27,0.25,0.50,0.39,0.44,0.40,0.37,0.42
8-OKP1nf19E.000_0607.jpg,0.73,0.52,0.73,0.43,0.46,0.43,0.69,0.66,0.65,0.23,0.36,0.27,0.75,0.74,0.78,0.35,0.49,0.48
8aLr0vNobr4.001_0373.jpg,0.67,0.89,0.74,0.30,0.21,0.21,0.40,0.48,0.30,0.37,0.35,0.36,0.48,0.54,0.40,0.65,0.44,0.68
8AnIttmflwI.002_0441.jpg,0.50,0.38,0.43,0.63,0.52,0.73,0.55,0.62,0.60,0.57,0.52,0.39,0.63,0.84,0.87,0.81,0.75,0.75
8dVcA5J1Dcw.000_0232.jpg,0.25,0.25,0.46,0.96,0.78,1.00,0.63,0.63,0.85,0.84,0.58,0.77,0.97,0.88,1.00,0.25,0.17,0.16
8HqEniErmmE.000_0210.jpg,0.68,0.55,0.46,0.36,0.40,0.62,0.80,0.81,0.63,1.00,0.85,1.00,0.51,0.64,0.47,0.50,0.47,0.44
8hW6WfYBP18.005_0040.jpg,0.17,0.42,0.23,0.47,0.30,0.38,0.64,0.66,0.81,0.95,0.80,0.77,0.52,0.37,0.38,0.95,0.94,0.93
8lg8A_zFOmg.000_0198.jpg,0.52,0.71,0.49,0.75,0.69,0.62,0.72,0.87,0.66,0.99,0.81,1.00,0.43,0.41,0.51,0.67,0.75,0.53
8mZZlnbmOYE.004_0285.jpg,0.92,1.00,1.00,0.63,0.53,0.60,0.79,0.73,0.67,0.40,0.35,0.39,0.87,0.78,0.99,1.00,1.00,0.86
8yFYvQ_kxW8.000_0659.jpg,0.85,0.71,0.87,0.91,0.89,0.80,0.51,0.62,0.59,0.46,0.43,0.58,0.70,0.56,0.51,0.65,0.56,0.66
8z-WF2UNRb8.002_0178.jpg,0.93,0.96,0.87,0.64,0.55,0.63,0.70,0.65,0.58,0.82,0.83,0.78,0.77,0.68,0.76,0.27,0.46,0.39
90p68AEmNMA.000_0406.jpg,0.25,0.30,0.33,0.59,0.48,0.52,0.43,0.48,0.49,0.58,0.64,0.76,0.38,0.58,0.53,0.55,0.63,0.52
9_6auSk_wkY.000_0320.jpg,0.82,0.76,0.75,0.55,0.83,0.55,0.30,0.58,0.52,0.39,0.46,0.57,0.41,0.46,0.20,0.73,0.98,0.86
9AsxY-x-TjM.000_0594.jpg,0.32,0.37,0.32,0.68,0.60,0.59,0.76,0.97,0.99,0.92,0.67,0.81,0.36,0.49,0.41,1.00,1.00,0.98
9CPKW0sqR3E.000_0144.jpg,0.82,0.84,0.67,1.00,0.96,0.82,0.54,0.54,0.54,0.39,0.46,0.64,0.69,0.60,0.66,0.37,0.39,0.38
9Crw2RtrBcY.002_0345.jpg,0.71,0.75,0.80,0.82,0.75,0.83,0.43,0.45,0.42,0.31,0.37,0.28,0.60,0.34,0.41,0.55,0.37,0.34
9Crw2RtrBcY.003_0329.jpg,0.58,0.52,0.50,0.69,0.56,0.60,0.42,0.51,0.33,0.65,0.69,0.75,0.50,0.47,0.47,0.52,0.56,0.38
9hqH1PJ6cG8.001_0078.jpg,0.92,0.83,1.00,0.85,0.90,0.89,0.45,0.42,0.65,0.17,0.46,0.30,0.51,0.60,0.48,0.51,0.53,0.64
9J-KIPMQmqk.005_0358.jpg,1.00,0.83,0.99,0.95,0.86,1.00,0.58,0.37,0.31,0.72,0.59,0.77,0.53,0.42,0.36,0.37,0.42,0.39
9o10YrQykMk.003_0056.jpg,0.84,0.73,0.69,0.57,0.63,0.52,0.79,0.83,0.66,0.84,0.90,0.94,0.39,0.36,0.34,0.88,0.88,0.92
9pGJyf1MXLY.002_0524.jpg,0.78,0.98,1.00,0.72,0.86,0.94,0.90,0.82,0.83,0.92,1.00,0.80,1.00,0.73,0.86,0.84,1.00,0.81
9RfE2-aTvaM.001_0253.jpg,0.57,0.47,0.48,0.47,0.45,0.46,0.46,0.66,0.52,0.63,0.73,0.85,1.00,1.00,0.84,0.80,0.63,0.79
9xJ0rFCU-OM.004_0572.jpg,0.44,0.45,0.49,0.70,0.69,0.61,0.62,0.51,0.61,0.59,0.67,0.63,0.88,1.00,0.82,0.42,0.38,0.58
9yZEb6bdxNY.004_0491.jpg,0.73,0.63,0.74,0.54,0.57,0.57,0.68,0.74,0.74,0.21,0.32,0.32,1.00,0.91,0.90,0.50,0.58,0.41
9ZMIYSBYIh8.000_0154.jpg,0.42,0.30,0.36,0.28,0.49,0.32,0.99,0.99,0.92,0.85,0.83,0.92,0.66,0.64,0.64,0.60,0.38,0.35
_7hGh6VU4IU.005_0206.jpg,0.74,0.65,0.68,0.48,0.45,0.45,0.31,0.46,0.38,0.25,0.34,0.45,0.92,0.84,0.81,0.69,0.65,0.75
_7s27dUoYVg.000_0455.jpg,0.68,0.74,0.64,0.99,0.90,1.00,0.74,0.99,0.99,0.56,0.41,0.44,0.48,0.34,0.35,0.83,0.82,0.75
_fFmEyvWgfA.004_0453.jpg,0.92,0.78,0.79,0.82,0.80,0.88,0.98,0.79,1.00,0.82,0.82,0.93,0.23,0.35,0.48,0.97,0.84,1.00
_G3kw9HwCqY.002_0230.jpg,0.37,0.62,0.49,0.45,0.23,0.33,0.54,0.76,0.78,0.68,0.81,0.66,0.45,0.22,0.31,0.97,0.88,1.00
_IS6GFmQYj4.003_0131.jpg,0.61,0.69,0.71,0.17,0.29,0.19,0.76,0.76,0.60,0.33,0.43,0.29,0.23,0.37,0.36,0.61,0.52,0.50
_mtiuHyOFXg.001_0697.jpg,0.38,0.28,0.51,0.89,0.85,0.76,0.28,0.17,0.45,0.75,0.49,0.62,0.70,0.73,0.57,0.59,0.41,0.59
_RAGzfJnpUE.003_0551.jpg,0.87,0.81,0.92,0.76,0.86,0.66,0.51,0.54,0.65,0.64,0.84,0.63,0.48,0.47,0.46,0.53,0.53,0.56
_tOtBfJlWFs.000_0043.jpg,0.20,0.38,0.21,0.71,0.85,0.75,0.44,0.44,0.44,0.71,0.82,0.90,0.64,0.81,0.77,0.75,0.83,0.72
_YYBXI2mXv4.000_0324.jpg,0.48,0.31,0.54,0.61,0.73,0.69,0.72,0.48,0.44,0.54,0.56,0.35,0.94,0.85,0.88,0.28,0.19,0.39
_ZAqTHlu2ts.004_0264.jpg,0.73,0.90,0.80,0.76,0.83,0.73,0.56,0.61,0.58,0.33,0.32,0.36,0.49,0.63,0.67,0.58,0.44,0.66
_ztmNiy8D3c.003_0073.jpg,0.66,0.62,0.70,0.52,0.35,0.45,0.67,0.95,0.75,0.77,0.67,0.79,0.34,0.50,0.43,0.66,0.70,0.67
A0braVJH3Pw.004_0273.jpg,0.41,0.36,0.42,0.81,0.66,0.68,0.52,0.43,0.35,0.60,0.64,0.71,0.54,0.46,0.64,0.72,0.72,0.88
a4bCX4P_5KI.000_0645.jpg,0.41,0.49,0.35,0.34,0.28,0.36,0.49,0.42,0.36,0.91,0.85,0.91,0.88,0.80,0.81,0.89,0.66,0.63
A4zSLp-1gps.000_0195.jpg,0.82,0.74,0.83,0.35,0.43,0.30,0.80,0.66,0.87,0.91,0.96,0.94,0.56,0.59,0.54,1.00,0.85,1.00
a5tVPpLsaGc.003_0407.jpg,0.59,0.56,0.57,0.67,0.47,0.51,0.42,0.50,0.44,0.62,0.71,0.63,0.90,0.88,0.89,0.85,0.96,0.89
a97PXgrKSxo.005_0119.jpg,0.53,0.54,0.47,0.53,0.47,0.46,0.91,0.76,0.76,0.51,0.37,0.51,0.93,0.90,0.84,0.40,0.31,0.34
